Community Profile Data by Municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Further explanation on Notes sheet,,,,,,Population Characteristics,,,,,,,,,,,,C&I Properties,General Housing Characteristics,,,,,,Units by Year Structure Built*,,,,,,,,,Units by Structure Type,,,,,,,,,Occupied Housing Units Primary Heating Fuels,,,,,,Means of Transportation to Work,,,,,,,,
Municipality,County,Muni and County,Year,Square Miles,Mun Inde,Population ,% White ,% Black ,"% Asian, Pacific Islander, and Hawaiian ",% Other,% Hispanic or Latino Origin*,Households,Median Household Income,Percent of Population in Poverty,Low and Moderate Income*,NJ DCA MRI Score*,NJ DCA MRI Rank*,Commercial & Industrial Properties  (2018 Tax Data),Total Housing Units*,Total Occupied Housing Units,% Occupied housing units ,% Owner-occupied,% Renter-occupied,<75% Occupied*,2010 or later,2000 to 2009,1990 to 1999,1980 to 1989,1970 to 1979,1960 to 1969,1950 to 1959,1940 to 1949,1939 or earlier,"1-unit, detached","1-unit, attached",2 units,3 or 4 units,5 to 9 units,10 to 19 units,20 or more,Mobile home,"Boat, RV, etc.",Utility gas,Electricity,"Bottled, tank, or LP gas","Fuel oil, kerosene, etc.",Wood,Other or no heating fuel,Total Workers,"Car, truck, or van",Public transport,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked at home
Millstone township,Monmouth,"Millstone township, Monmouth",2015,37.2,312,"10,509",86%,5%,4%,4%,4%,"3,330","$130,109",4.6%,,14,491,98,"3,532","3,330",94%,96%,4%,,0,501,"1,260",612,394,123,221,182,239,"3,433",24,14,0,0,0,0,61,0,83%,1%,2%,12%,2%,0%,"4,984",83%,7%,0%,0%,0%,0%,1%,9%
Millstone township,Monmouth,"Millstone township, Monmouth",2020,37.2,312,"10,418",85%,1%,7%,7%,13%,"3,462","$177,500",3.8%,,13,502,98,"3,602","3,462",96%,92%,8%,,113,603,"1,321",504,561,181,161,43,115,"3,545",7,28,0,17,5,0,0,0,84%,3%,2%,9%,1%,0%,"5,736",84%,6%,0%,0%,0%,1%,1%,8%
Milltown borough,Middlesex,"Milltown borough, Middlesex",2015,1.6,313,"6,989",91%,3%,2%,4%,9%,"2,546","$101,685",9.3%,,20,390,96,"2,668","2,546",95%,82%,18%,,0,0,52,239,508,312,630,233,694,"2,157",54,289,117,0,15,36,0,0,96%,1%,1%,2%,0%,0%,"3,503",87%,7%,0%,0%,0%,1%,1%,5%
Milltown borough,Middlesex,"Milltown borough, Middlesex",2020,1.6,313,"6,973",86%,3%,6%,5%,10%,"2,459","$105,540",0.6%,,23,339,96,"2,606","2,459",94%,78%,22%,,10,63,161,225,299,411,495,201,741,"2,060",79,327,115,0,0,25,0,0,95%,3%,0%,1%,0%,1%,"3,880",87%,4%,0%,0%,0%,0%,4%,5%
Millville city,Cumberland,"Millville city, Cumberland",2015,44.5,314,"28,515",72%,19%,1%,8%,18%,"10,412","$49,133",17.5%,Yes,54,29,485,"11,486","10,412",91%,64%,36%,,14,"1,305",640,"1,094","2,227","1,719","1,495",655,"2,337","7,046",897,840,438,551,681,692,341,0,66%,11%,1%,21%,1%,0%,"11,536",95%,1%,0%,0%,1%,1%,1%,1%
Millville city,Cumberland,"Millville city, Cumberland",2020,44.5,314,"27,485",77%,15%,2%,6%,18%,"11,500","$63,182",13.3%,Yes,55,31,485,"12,656","11,500",91%,68%,32%,,528,"1,372",843,922,"1,777","2,067","1,672",736,"2,739","8,629","1,209",363,343,435,259,"1,136",282,0,67%,15%,1%,15%,2%,1%,"12,609",94%,2%,0%,0%,1%,1%,1%,1%
Mine Hill township,Morris,"Mine Hill township, Morris",2015,3.0,315,"3,649",85%,1%,7%,6%,20%,"1,182","$95,000",5.0%,,25,258,67,"1,233","1,182",96%,87%,13%,,4,23,27,155,90,132,365,89,348,"1,022",123,41,6,0,0,41,0,0,44%,12%,2%,41%,0%,0%,"1,673",94%,1%,1%,0%,0%,0%,0%,3%
Mine Hill township,Morris,"Mine Hill township, Morris",2020,3.0,315,"3,511",73%,2%,8%,17%,32%,"1,269","$95,516",6.9%,,29,222,67,"1,350","1,269",94%,88%,12%,,17,7,191,183,245,150,245,97,215,968,245,65,43,0,29,0,0,0,49%,11%,6%,33%,0%,1%,"1,919",86%,4%,0%,0%,0%,1%,0%,9%
Monmouth Beach borough,Monmouth,"Monmouth Beach borough, Monmouth",2015,2.0,316,"3,258",94%,0%,1%,6%,5%,"1,431","$103,287",5.6%,,15,463,38,"2,019","1,431",71%,81%,19%,Yes,109,88,155,411,584,210,162,50,250,991,131,25,56,89,208,519,0,0,66%,31%,0%,3%,0%,0%,"1,550",84%,7%,0%,0%,0%,1%,1%,7%
Monmouth Beach borough,Monmouth,"Monmouth Beach borough, Monmouth",2020,2.0,316,"3,226",95%,0%,0%,5%,6%,"1,485","$111,415",2.9%,,12,519,38,"1,894","1,485",78%,76%,24%,,67,125,251,346,577,181,123,10,214,957,256,29,37,180,34,401,0,0,62%,33%,1%,2%,2%,0%,"1,471",68%,13%,0%,0%,1%,0%,4%,14%
Monroe township,Gloucester ,"Monroe township, Gloucester ",2015,46.9,317,"36,665",76%,15%,3%,5%,6%,"13,154","$74,212",7.1%,,32,171,453,"14,065","13,154",94%,83%,17%,,376,"3,167","2,103","1,816","3,063","1,213","1,039",374,914,"10,456",870,347,200,212,307,420,"1,238",15,76%,8%,2%,13%,1%,0%,"16,995",94%,2%,0%,0%,0%,1%,1%,2%
Monroe township,Gloucester ,"Monroe township, Gloucester ",2020,46.9,317,"36,861",81%,12%,2%,5%,9%,"13,764","$84,743",5.7%,,30,203,453,"14,469","13,764",95%,86%,14%,,907,"2,823","2,470","1,719","3,209","1,544",729,346,722,"11,031",935,149,325,309,327,270,"1,123",0,80%,6%,1%,10%,0%,1%,"19,114",90%,3%,0%,0%,0%,1%,1%,5%
Monroe township,Middlesex,"Monroe township, Middlesex",2015,42.2,318,"42,137",77%,4%,17%,2%,4%,"17,444","$70,357",4.5%,,20,382,243,"18,187","17,444",96%,90%,10%,,693,"4,773","3,227","3,738","2,677","1,421",697,278,683,"11,106","4,822",483,647,238,38,813,40,0,65%,30%,1%,4%,0%,1%,"15,470",83%,7%,0%,0%,0%,1%,0%,8%
Monroe township,Middlesex,"Monroe township, Middlesex",2020,42.2,318,"44,615",74%,3%,20%,2%,6%,"19,526","$95,698",3.7%,,23,323,243,"20,713","19,526",94%,90%,10%,,"3,005","4,778","2,943","3,515","3,028","1,983",758,348,355,"12,944","5,397",499,644,262,123,844,0,0,65%,31%,1%,3%,0%,0%,"18,360",78%,8%,0%,0%,0%,0%,1%,13%
Montague township,Sussex,"Montague township, Sussex",2015,46.6,319,"3,811",93%,2%,1%,4%,5%,"1,516","$57,150",10.8%,Yes,35,135,72,"1,798","1,516",84%,64%,36%,,37,342,102,264,524,218,136,48,127,"1,022",133,140,168,256,79,0,0,0,4%,37%,18%,32%,6%,3%,"1,799",89%,2%,0%,0%,0%,1%,2%,6%
Montague township,Sussex,"Montague township, Sussex",2020,46.6,319,"3,666",90%,1%,6%,3%,2%,"1,570","$81,429",4.3%,,31,190,72,"1,973","1,570",80%,88%,12%,,18,305,168,393,441,169,208,81,190,"1,588",99,46,92,28,61,34,25,0,3%,23%,9%,52%,3%,8%,"1,742",94%,1%,0%,0%,0%,0%,2%,4%
Montclair township,Essex,"Montclair township, Essex",2015,6.2,320,"38,021",65%,24%,4%,7%,9%,"14,517","$99,105",6.7%,,21,364,618,"15,347","14,517",95%,57%,44%,,26,646,448,532,618,"1,153","1,483","1,575","8,866","7,336",342,"1,929","1,626","1,154",661,"2,271",28,0,72%,10%,2%,15%,0%,1%,"18,691",62%,25%,0%,0%,1%,3%,1%,7%
Montclair township,Essex,"Montclair township, Essex",2020,6.2,320,"38,634",62%,25%,5%,8%,10%,"14,097","$134,308",6.6%,,20,379,618,"15,276","14,097",92%,61%,39%,,226,603,430,599,843,"1,350","1,369",968,"8,888","7,351",423,"1,950","1,349","1,096",798,"2,306",0,3,75%,11%,3%,9%,0%,2%,"19,274",58%,24%,0%,0%,0%,3%,0%,14%
Montgomery township,Somerset,"Montgomery township, Somerset",2015,32.5,321,"22,693",66%,2%,30%,2%,4%,"7,575","$155,334",3.8%,,9,546,156,"7,832","7,575",97%,84%,16%,,65,"1,876","2,737","1,507",441,488,347,44,327,"5,525","1,405",20,218,164,161,339,0,0,85%,7%,0%,7%,0%,1%,"10,705",85%,6%,0%,0%,0%,1%,1%,7%
Montgomery township,Somerset,"Montgomery township, Somerset",2020,32.5,321,"23,128",56%,3%,38%,3%,6%,"7,755","$200,150",3.0%,,8,552,156,"8,153","7,755",95%,85%,15%,,362,"1,659","2,802","1,329",548,694,218,37,504,"5,641","1,294",37,90,286,352,436,17,0,84%,8%,2%,5%,0%,0%,"11,692",74%,8%,0%,0%,0%,1%,1%,16%
Montvale borough,Bergen,"Montvale borough, Bergen",2015,4.0,322,"8,199",82%,1%,13%,4%,11%,"2,828","$110,635",7.8%,,16,446,120,"2,860","2,828",99%,84%,16%,,54,371,146,263,447,820,454,15,290,"2,075",260,43,189,74,185,34,0,0,86%,8%,0%,4%,1%,0%,"3,669",83%,9%,0%,0%,1%,0%,0%,7%
Montvale borough,Bergen,"Montvale borough, Bergen",2020,4.0,322,"8,538",80%,2%,14%,5%,10%,"2,902","$156,042",3.6%,,12,523,120,"2,986","2,902",97%,87%,13%,,291,256,228,142,382,739,446,95,407,"2,152",322,63,118,135,196,0,0,0,87%,8%,0%,4%,0%,0%,"4,114",76%,12%,0%,0%,0%,0%,0%,12%
Montville township,Morris,"Montville township, Morris",2015,19.1,323,"21,760",78%,1%,18%,3%,7%,"7,507","$122,260",3.6%,,13,507,367,"7,877","7,507",95%,84%,16%,,43,360,"2,078","1,360","1,146","1,101",958,158,673,"5,194","1,375",108,71,257,443,429,0,0,68%,8%,2%,21%,1%,0%,"10,729",86%,7%,0%,0%,0%,1%,0%,6%
Montville township,Morris,"Montville township, Morris",2020,19.1,323,"21,253",75%,1%,21%,4%,7%,"7,866","$142,587",2.9%,,14,485,367,"8,130","7,866",97%,88%,12%,,111,303,"1,866","1,464","1,111","1,349","1,044",338,544,"5,776","1,276",80,99,244,281,374,0,0,68%,6%,3%,18%,0%,5%,"10,807",82%,7%,0%,0%,0%,1%,0%,9%
Moonachie borough,Bergen,"Moonachie borough, Bergen",2015,1.7,324,"2,753",74%,1%,10%,16%,29%,979,"$55,179",9.9%,Yes,37,111,185,"1,077",979,91%,77%,23%,,0,9,106,123,184,179,296,45,135,619,17,56,16,0,0,5,364,0,76%,2%,1%,16%,0%,4%,"1,366",87%,10%,0%,0%,0%,2%,0%,1%
Moonachie borough,Bergen,"Moonachie borough, Bergen",2020,1.7,324,"2,714",77%,2%,6%,16%,54%,836,"$72,000",6.5%,,34,159,185,899,836,93%,71%,30%,,50,5,92,127,102,120,227,85,91,491,9,63,7,3,0,0,326,0,73%,7%,3%,15%,0%,2%,"1,338",83%,7%,0%,0%,0%,8%,1%,1%
Moorestown township,Burlington,"Moorestown township, Burlington",2015,15.0,325,"20,650",83%,7%,7%,3%,2%,"7,213","$121,637",3.8%,,15,477,401,"7,747","7,213",93%,84%,17%,,10,698,"1,167",854,700,879,"1,338",435,"1,666","5,987",614,117,191,235,156,447,0,0,81%,10%,1%,7%,0%,1%,"10,014",90%,3%,0%,0%,1%,1%,1%,5%
Moorestown township,Burlington,"Moorestown township, Burlington",2020,15.0,325,"20,474",83%,4%,9%,5%,5%,"7,124","$156,146",2.8%,,14,487,401,"7,698","7,124",93%,85%,15%,,224,894,"1,110",398,828,945,959,318,"2,022","6,000",650,135,199,134,147,433,0,0,83%,11%,0%,5%,0%,0%,"10,575",78%,5%,0%,0%,1%,1%,1%,14%
Morris Plains borough,Morris,"Morris Plains borough, Morris",2015,2.6,326,"5,598",90%,3%,6%,1%,10%,"2,084","$110,817",2.1%,,15,476,98,"2,145","2,084",97%,87%,13%,,36,101,100,244,217,255,545,210,437,"1,681",73,32,55,126,96,82,0,0,83%,7%,1%,9%,0%,0%,"2,892",81%,11%,0%,0%,1%,1%,1%,5%
Morris Plains borough,Morris,"Morris Plains borough, Morris",2020,2.6,326,"5,888",88%,3%,5%,4%,5%,"2,369","$127,021",2.1%,,14,491,98,"2,508","2,369",95%,77%,23%,,196,128,206,259,198,415,546,312,248,"1,919",43,15,50,136,51,294,0,0,85%,11%,0%,3%,0%,0%,"3,300",77%,6%,0%,0%,0%,1%,1%,16%
Morris township,Morris,"Morris township, Morris",2015,15.8,327,"22,585",88%,4%,4%,4%,6%,"8,286","$127,805",5.4%,,13,504,190,"8,729","8,286",95%,85%,16%,,36,158,"1,059","1,428","1,100","1,755","1,306",645,"1,242","6,426",918,291,153,242,433,223,43,0,84%,10%,1%,6%,0%,0%,"11,113",82%,6%,0%,0%,0%,2%,0%,9%
Morris township,Morris,"Morris township, Morris",2020,15.8,327,"22,275",85%,5%,5%,5%,8%,"8,172","$160,611",5.0%,,14,486,190,"8,498","8,172",96%,85%,15%,,132,138,988,"1,346","1,134","1,618","1,500",340,"1,302","6,292",832,279,232,195,438,222,8,0,85%,10%,1%,4%,0%,0%,"10,971",78%,6%,0%,0%,1%,1%,1%,13%
Morristown town,Morris,"Morristown town, Morris",2015,3.0,328,"18,563",74%,12%,4%,10%,34%,"7,734","$77,407",10.7%,,29,216,539,"8,595","7,734",90%,38%,62%,,122,769,680,842,952,970,997,636,"2,627","2,107",645,989,"1,104",464,692,"2,594",0,0,74%,18%,1%,5%,0%,1%,"11,445",78%,4%,1%,0%,0%,11%,1%,5%
Morristown town,Morris,"Morristown town, Morris",2020,3.0,328,"19,065",77%,8%,5%,10%,26%,"8,391","$111,130",8.8%,,27,262,539,"9,029","8,391",93%,38%,62%,,811,747,789,605,674,792,"1,427",644,"2,540","2,049","1,221",952,718,439,567,"3,008",75,0,74%,20%,2%,3%,0%,1%,"11,654",82%,4%,0%,0%,1%,4%,0%,9%
Mount Arlington borough,Morris,"Mount Arlington borough, Morris",2015,2.8,329,"5,187",92%,4%,3%,1%,7%,"2,339","$84,912",0.7%,,19,402,44,"2,736","2,339",86%,75%,25%,,35,257,942,229,200,510,233,60,270,"1,128",466,30,104,142,215,651,0,0,57%,16%,0%,26%,1%,0%,"2,572",88%,0%,0%,1%,0%,1%,0%,9%
Mount Arlington borough,Morris,"Mount Arlington borough, Morris",2020,2.8,329,"5,751",86%,4%,2%,9%,15%,"2,362","$95,086",4.5%,,24,315,44,"2,959","2,362",80%,68%,32%,,344,234,571,239,305,506,301,164,295,"1,666",354,96,48,48,151,596,0,0,51%,16%,4%,24%,0%,6%,"3,118",89%,0%,0%,0%,0%,0%,0%,10%
Mount Ephraim borough,Camden,"Mount Ephraim borough, Camden",2015,0.9,330,"4,646",92%,6%,0%,2%,3%,"1,757","$61,715",12.4%,,37,116,95,"2,036","1,757",86%,79%,21%,,0,152,54,62,114,241,687,424,302,"1,557",105,49,88,32,34,171,0,0,80%,6%,0%,12%,0%,1%,"2,483",89%,5%,0%,0%,0%,3%,0%,1%
Mount Ephraim borough,Camden,"Mount Ephraim borough, Camden",2020,0.9,330,"4,591",89%,2%,0%,9%,9%,"1,838","$80,882",12.9%,,35,153,95,"1,933","1,838",95%,63%,37%,,0,204,25,103,229,209,613,292,258,"1,499",90,29,54,20,118,123,0,0,78%,14%,0%,8%,0%,0%,"2,363",88%,3%,0%,0%,0%,1%,0%,8%
Mount Holly township,Burlington,"Mount Holly township, Burlington",2015,2.9,331,"9,410",67%,24%,2%,7%,10%,"3,397","$58,884",10.6%,,44,59,240,"3,835","3,397",89%,62%,38%,,0,82,249,312,103,441,"1,066",183,"1,399","2,025",805,236,352,155,33,198,31,0,71%,16%,0%,10%,0%,1%,"4,214",88%,4%,0%,0%,2%,3%,1%,3%
Mount Holly township,Burlington,"Mount Holly township, Burlington",2020,2.9,331,"9,562",65%,22%,4%,9%,16%,"3,492","$71,411",10.9%,,45,61,240,"3,892","3,492",90%,62%,39%,,234,18,188,230,188,232,"1,012",329,"1,461","1,956",863,208,450,89,131,178,17,0,71%,17%,1%,8%,1%,2%,"4,278",92%,3%,0%,0%,0%,3%,0%,2%
Mount Laurel township,Burlington,"Mount Laurel township, Burlington",2015,22.0,332,"41,870",78%,9%,9%,4%,5%,"17,216","$87,724",5.1%,,21,360,468,"18,364","17,216",94%,81%,19%,,32,"1,895","4,766","6,360","2,661","1,300",895,201,254,"9,195","4,588",181,756,"1,866",854,652,272,0,77%,18%,1%,4%,0%,0%,"21,332",91%,3%,0%,0%,0%,1%,0%,5%
Mount Laurel township,Burlington,"Mount Laurel township, Burlington",2020,22.0,332,"41,443",73%,12%,9%,6%,6%,"17,494","$97,536",3.6%,,20,385,468,"18,305","17,494",96%,76%,24%,,648,"1,721","5,066","5,700","2,915","1,273",525,150,307,"9,016","4,708",305,721,"1,739",646,985,185,0,73%,22%,0%,4%,0%,1%,"21,602",87%,3%,0%,0%,0%,1%,1%,9%
Mount Olive township,Morris,"Mount Olive township, Morris",2015,31.2,333,"28,682",80%,6%,8%,5%,15%,"10,656","$88,333",4.6%,,21,365,382,"11,492","10,656",93%,57%,43%,,178,"1,406","1,225","1,572","3,623","1,963",594,346,585,"6,148",417,125,683,394,"2,679","1,032",14,0,54%,16%,3%,24%,1%,2%,"14,443",92%,2%,0%,0%,0%,1%,0%,4%
Mount Olive township,Morris,"Mount Olive township, Morris",2020,31.2,333,"28,913",79%,6%,8%,7%,17%,"10,770","$96,550",5.9%,,25,294,382,"11,238","10,770",96%,60%,40%,,381,"1,033","1,563","1,371","3,379","1,635",744,400,732,"6,446",382,230,800,502,"1,888",990,0,0,58%,16%,2%,22%,1%,1%,"15,857",90%,2%,0%,0%,0%,0%,1%,7%
Mountain Lakes borough,Morris,"Mountain Lakes borough, Morris",2015,2.9,334,"4,262",85%,0%,13%,2%,2%,"1,360","$164,432",3.2%,,8,553,87,"1,384","1,360",98%,93%,7%,,50,29,134,83,75,186,240,106,481,"1,184",134,0,24,30,0,0,12,0,79%,1%,0%,19%,0%,1%,"1,813",78%,12%,0%,0%,0%,0%,0%,9%
Mountain Lakes borough,Morris,"Mountain Lakes borough, Morris",2020,2.9,334,"4,249",86%,0%,13%,1%,5%,"1,373","$225,208",2.3%,,2,564,87,"1,427","1,373",96%,96%,4%,,74,96,71,95,63,75,237,166,550,"1,330",74,0,0,23,0,0,0,0,88%,3%,0%,9%,0%,0%,"1,787",68%,7%,0%,0%,0%,1%,0%,24%
Mountainside borough,Union,"Mountainside borough, Union",2015,4.0,335,"6,832",90%,1%,5%,3%,3%,"2,312","$133,571",4.6%,,12,517,163,"2,472","2,312",94%,92%,8%,,0,153,40,188,208,573,912,155,243,"2,341",0,14,0,0,0,117,0,0,81%,3%,0%,15%,0%,1%,"2,921",84%,6%,0%,0%,0%,1%,0%,8%
Mountainside borough,Union,"Mountainside borough, Union",2020,4.0,335,"6,859",82%,2%,10%,7%,13%,"2,521","$121,172",1.6%,,14,497,163,"2,535","2,521",99%,86%,14%,,30,18,131,154,150,622,"1,096",185,149,"2,422",0,8,0,0,0,105,0,0,93%,2%,0%,6%,0%,0%,"2,973",67%,11%,0%,0%,0%,1%,0%,21%
Mullica township,Atlantic,"Mullica township, Atlantic",2015,56.8,336,"6,156",84%,7%,0%,9%,16%,"2,156","$67,269",10.0%,,42,69,85,"2,478","2,156",87%,94%,6%,,0,160,225,391,397,250,590,159,306,"2,346",27,0,49,0,2,0,54,0,32%,17%,10%,26%,11%,4%,"2,688",89%,4%,0%,0%,0%,0%,5%,2%
Mullica township,Atlantic,"Mullica township, Atlantic",2020,56.8,336,"5,894",87%,7%,0%,6%,5%,"2,158","$79,155",10.9%,,37,135,85,"2,302","2,158",94%,86%,14%,,0,277,189,311,409,190,417,174,335,"2,122",26,0,0,0,0,0,154,0,41%,12%,6%,29%,10%,2%,"2,773",92%,5%,0%,0%,0%,1%,0%,2%
National Park borough,Gloucester,"National Park borough, Gloucester",2015,1.4,337,"3,005",95%,1%,1%,3%,2%,"1,053","$57,356",9.5%,Yes,43,66,35,"1,117","1,053",94%,78%,22%,,0,128,25,59,126,115,334,76,254,978,53,59,27,0,0,0,0,0,74%,4%,0%,22%,0%,0%,"1,431",93%,1%,0%,0%,0%,2%,4%,0%
National Park borough,Gloucester,"National Park borough, Gloucester",2020,1.4,337,"2,964",94%,2%,1%,3%,5%,"1,038","$65,379",8.7%,Yes,39,106,35,"1,116","1,038",93%,87%,13%,,10,17,84,55,80,90,365,76,339,980,49,29,41,4,0,13,0,0,83%,5%,0%,11%,0%,0%,"1,421",91%,3%,1%,0%,1%,1%,0%,4%
Neptune City borough,Monmouth,"Neptune City borough, Monmouth",2015,0.9,338,"4,834",69%,23%,5%,3%,9%,"2,067","$55,728",14.8%,Yes,38,103,107,"2,154","2,067",96%,57%,44%,,19,76,127,225,468,365,294,342,238,"1,119",117,80,76,107,259,319,77,0,70%,23%,0%,7%,0%,0%,"2,089",84%,1%,1%,0%,3%,5%,1%,5%
Neptune City borough,Monmouth,"Neptune City borough, Monmouth",2020,0.9,338,"4,654",74%,15%,2%,9%,14%,"2,176","$73,085",8.8%,,40,98,107,"2,372","2,176",92%,58%,43%,,45,169,259,35,464,228,136,325,711,"1,170",154,69,150,127,29,587,86,0,67%,27%,4%,2%,0%,1%,"2,726",92%,1%,0%,0%,0%,4%,0%,2%
Neptune township,Monmouth,"Neptune township, Monmouth",2015,8.8,339,"27,675",54%,36%,3%,8%,10%,"10,875","$62,992",10.6%,,34,143,469,"12,887","10,875",84%,66%,34%,,76,"1,283",806,862,"1,284","1,911","2,438",913,"3,314","8,386",780,456,607,830,658,"1,079",91,0,82%,11%,1%,6%,0%,1%,"13,188",91%,3%,1%,0%,2%,2%,0%,2%
Neptune township,Monmouth,"Neptune township, Monmouth",2020,8.8,339,"27,547",58%,33%,2%,7%,12%,"11,614","$80,156",10.0%,,36,141,469,"13,140","11,614",88%,67%,34%,,941,"1,014",695,"1,401",934,"2,189","2,427",736,"2,803","8,685","1,109",568,633,431,554,"1,064",96,0,82%,12%,1%,3%,0%,2%,"14,527",87%,3%,1%,0%,1%,2%,1%,7%
Netcong borough,Morris,"Netcong borough, Morris",2015,1.0,340,"3,258",91%,2%,5%,2%,25%,"1,449","$54,659",12.1%,Yes,33,154,80,"1,470","1,449",99%,48%,52%,,9,11,66,119,325,215,207,112,406,754,32,159,81,74,260,110,0,0,31%,18%,1%,48%,0%,2%,"1,768",93%,0%,0%,0%,0%,1%,0%,5%
Netcong borough,Morris,"Netcong borough, Morris",2020,1.0,340,"3,167",90%,7%,1%,3%,16%,"1,638","$71,250",13.8%,,38,115,80,"1,770","1,638",93%,52%,48%,,19,0,9,81,397,170,215,338,541,"1,162",40,117,95,62,247,37,10,0,45%,9%,1%,43%,0%,1%,"1,822",82%,0%,0%,0%,0%,3%,2%,13%
New Brunswick city,Middlesex,"New Brunswick city, Middlesex",2015,5.8,341,"56,338",67%,14%,9%,10%,56%,"14,329","$38,435",34.7%,Yes,65,17,731,"15,747","14,329",91%,19%,81%,,267,"1,478",726,"1,393","1,108","1,908","3,637","2,119","3,111","3,261","1,061","3,352","1,868","1,499","1,159","3,536",11,0,74%,20%,1%,4%,0%,1%,"22,965",53%,10%,3%,0%,1%,16%,15%,1%
New Brunswick city,Middlesex,"New Brunswick city, Middlesex",2020,5.8,341,"55,992",61%,15%,10%,14%,46%,"15,546","$43,930",36.1%,Yes,65,17,731,"16,605","15,546",94%,20%,81%,,"1,183","2,169","1,599","1,327","1,577","1,491","2,156","1,740","3,363","4,681","1,149","2,722","1,294","1,514","1,484","3,761",0,0,67%,26%,2%,2%,0%,2%,"22,332",69%,10%,1%,0%,1%,10%,2%,6%
New Hanover township,Burlington,"New Hanover township, Burlington",2015,22.6,342,"7,961",54%,30%,3%,13%,24%,620,"$81,500",5.6%,,32,167,27,718,620,86%,40%,60%,,48,292,77,48,112,38,34,10,59,346,216,4,14,0,24,114,0,0,34%,47%,2%,13%,2%,2%,"1,867",61%,0%,0%,0%,0%,24%,3%,10%
New Hanover township,Burlington,"New Hanover township, Burlington",2020,22.6,342,"8,101",57%,30%,2%,11%,20%,884,"$100,682",7.5%,,35,148,27,919,884,96%,40%,61%,,148,323,134,85,95,56,6,3,69,530,360,0,22,0,5,2,0,0,26%,52%,3%,12%,2%,5%,"2,128",85%,0%,0%,0%,0%,3%,7%,4%
New Milford borough,Bergen,"New Milford borough, Bergen",2015,2.3,343,"16,640",67%,7%,16%,9%,15%,"5,979","$78,077",7.0%,,23,305,80,"6,205","5,979",96%,62%,38%,,35,227,92,353,314,802,"2,314","1,366",702,"3,817",101,354,"1,087",225,272,310,39,0,86%,5%,1%,7%,0%,1%,"8,383",86%,10%,0%,0%,0%,1%,0%,2%
New Milford borough,Bergen,"New Milford borough, Bergen",2020,2.3,343,"16,477",66%,2%,21%,10%,18%,"5,886","$94,821",4.9%,,23,336,80,"6,119","5,886",96%,65%,35%,,48,81,197,264,452,815,"1,768","1,589",905,"3,967",166,327,"1,200",141,88,219,11,0,88%,5%,2%,4%,0%,1%,"8,376",82%,11%,0%,0%,0%,1%,0%,5%
New Providence borough,Union,"New Providence borough, Union",2015,3.7,344,"12,355",83%,1%,14%,3%,6%,"4,333","$130,057",4.5%,,13,501,154,"4,541","4,333",95%,77%,23%,,34,135,116,143,348,"1,186","1,613",468,498,"3,312",119,194,444,94,223,155,0,0,88%,7%,1%,2%,0%,2%,"5,861",75%,13%,0%,0%,0%,4%,1%,7%
New Providence borough,Union,"New Providence borough, Union",2020,3.7,344,"13,382",79%,1%,16%,5%,6%,"4,844","$149,718",1.9%,,11,531,154,"4,923","4,844",98%,79%,21%,,200,158,255,245,377,"1,218","1,967",156,347,"3,708",92,152,219,208,196,348,0,0,88%,8%,0%,1%,0%,2%,"6,392",65%,18%,0%,0%,0%,0%,2%,14%
Newark city,Essex,"Newark city, Essex",2015,26.2,345,"279,793",24%,50%,2%,24%,36%,"92,675","$33,139",29.7%,Yes,74,12,"5,921","110,243","92,675",84%,22%,78%,,"1,134","14,347","8,471","5,947","11,111","12,150","13,467","14,877","28,739","12,245","8,478","20,413","31,461","9,295","6,410","21,806",120,15,73%,16%,2%,8%,0%,1%,"108,385",61%,27%,0%,0%,0%,9%,1%,2%
Newark city,Essex,"Newark city, Essex",2020,26.2,345,"281,917",27%,50%,2%,22%,37%,"102,195","$37,476",26.3%,Yes,72,12,"5,921","114,410","102,195",89%,24%,77%,,"3,353","13,541","12,933","7,616","10,844","12,647","13,354","12,240","27,882","12,965","11,176","21,974","29,444","9,322","6,251","23,164",95,19,73%,19%,2%,4%,0%,2%,"115,068",62%,24%,1%,0%,0%,6%,5%,3%
Newfield borough,Gloucester,"Newfield borough, Gloucester",2015,1.7,346,"1,616",94%,3%,0%,4%,5%,584,"$70,556",7.3%,,32,163,44,645,584,91%,76%,25%,,32,41,46,17,134,102,60,51,162,527,24,45,47,0,0,0,2,0,62%,2%,3%,32%,0%,0%,788,94%,1%,0%,0%,0%,2%,0%,4%
Newfield borough,Gloucester,"Newfield borough, Gloucester",2020,1.7,346,"1,502",94%,3%,0%,3%,12%,559,"$88,292",3.5%,,34,161,44,579,559,97%,88%,12%,,14,60,25,33,121,79,80,49,118,526,24,20,9,0,0,0,0,0,74%,1%,0%,22%,1%,1%,814,97%,0%,0%,0%,0%,0%,0%,3%
Newton town,Sussex,"Newton town, Sussex",2015,3.4,347,"8,036",85%,8%,1%,6%,16%,"3,258","$48,409",14.3%,Yes,45,56,252,"3,678","3,258",89%,47%,53%,,0,253,287,378,384,567,409,258,"1,142","1,683",163,380,164,313,225,750,0,0,38%,27%,1%,32%,1%,3%,"3,525",87%,1%,0%,0%,2%,5%,3%,2%
